수험번호,선택과목,문제번호,대분류,중분류,소분류,학생이 쓴 답,정답,배점
1,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
1,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
1,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
1,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
1,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
1,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
1,공통,7,수학Ⅰ,수열,수열의 합,2,5,3
1,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
1,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
1,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
1,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
1,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
1,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
1,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
1,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
1,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
1,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
1,공통,18,수학Ⅰ,수열,수열의 합,474,13,3
1,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
1,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
1,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
1,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,164,58,4
1,미적분,23,미적분,극한,함수의 극한값,4,1,2
1,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
1,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
1,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
1,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
1,미적분,28,미적분,정적분,부피와 삼각함수의 극한,2,4,4
1,미적분,29,미적분,미분법,역함수의 미분,280,3,4
1,미적분,30,미적분,정적분,정적분과 미분의 활용,884,283,4
2,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
2,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
2,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
2,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
2,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
2,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
2,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
2,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
2,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
2,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
2,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
2,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
2,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
2,공통,14,수학Ⅱ,적분법,정적분 활용,3,5,4
